"","player_name","masters_finish"
"1","Scottie Scheffler","1"
"2","Rory McIlroy","2"
"3","Cameron Smith","3"
"4","Shane Lowry","4"
"5","Collin Morikawa","5"
"6","Will Zalatoris","6"
"7","Corey Conners","7"
"8","Justin Thomas","8"
"9","Sungjae Im","9"
"10","Cameron Champ","10"
"11","Charl Schwartzel","11"
"12","Dustin Johnson","12"
"13","Danny Willett","13"
"14","Matt Fitzpatrick","14"
"15","Jason Kokrak","15"
"16","Tommy Fleetwood","16"
"17","Hideki Matsuyama","17"
"18","Talor Gooch","18"
"19","Lee Westwood","19"
"20","Harry Higgs","20"
"21","Min Woo Lee","21"
"22","Kevin Na","22"
"23","J.J. Spaun","23"
"24","Sergio Garcia","24"
"25","Robert MacIntyre","25"
"26","Harold Varner III","26"
"27","Jon Rahm","27"
"28","Seamus Power","28"
"29","Viktor Hovland","29"
"30","Russell Henley","30"
"31","Sepp Straka","31"
"32","Lucas Glover","32"
"33","Hudson Swafford","33"
"34","Marc Leishman","34"
"35","Tony Finau","35"
"36","Webb Simpson","36"
"37","Patrick Reed","37"
"38","Joaquin Niemann","38"
"39","Patrick Cantlay","39"
"40","Bubba Watson","40"
"41","Tom Hoge","41"
"42","Si Woo Kim","42"
"43","Billy Horschel","43"
"44","Christiaan Bezuidenhout","44"
"45","Kevin Kisner","45"
"46","Cam Davis","46"
"47","Tiger Woods","47"
"48","Adam Scott","48"
"49","Max Homa","49"
"50","Mackenzie Hughes","50"
"51","Daniel Berger","CUT"
"52","Tyrrell Hatton","CUT"
"53","Takumi Kanaya","CUT"
"54","Sam Burns","CUT"
"55","Padraig Harrington","CUT"
"56","K.H. Lee","CUT"
"57","Brian Harman","CUT"
"58","Zach Johnson","CUT"
"59","Jordan Spieth","CUT"
"60","Ryan Palmer","CUT"
"61","Mike Weir","CUT"
"62","Brooks Koepka","CUT"
"63","Lucas Herbert","CUT"
"64","Keita Nakajima","CUT"
"65","Abraham Ancer","CUT"
"66","Xander Schauffele","CUT"
"67","Austin Greaser","CUT"
"68","Stewart Cink","CUT"
"69","Erik Van Rooyen","CUT"
"70","Luke List","CUT"
"71","Guido Migliozzi","CUT"
"72","Francesco Molinari","CUT"
"73","Gary Woodland","CUT"
"74","Bernhard Langer","CUT"
"75","Justin Rose","CUT"
"76","Fred Couples","CUT"
"77","Cameron Young","CUT"
"78","Larry Mize","CUT"
"79","Garrick Higgo","CUT"
"80","Aaron Jarvis","CUT"
"81","James Piot","CUT"
"82","Bryson DeChambeau","CUT"
"83","Sandy Lyle","CUT"
"84","Vijay Singh","CUT"
"85","Thomas Pieters","CUT"
"86","Matthew Wolff","CUT"
"87","Stewart Hagestad","CUT"
"88","Jose Maria Olazabal","CUT"
"89","Laird Shepherd","CUT"
"90","Louis Oosthuizen","CUT"
